address,lat,lng
2700 w medill,41.9240367,-87.69577643165297
4900 n monitor,41.970459649999995,-87.77490037413897
2000 n halsted st,41.9074043,-87.6481888
5000 w 55th st,41.7930101652696,-87.7496168029511
2100 n halsted st,41.92012325,-87.6489285678065
2100 s wells st.,41.8087144,-87.6326181
1500 w cortez st,41.90086005,-87.6651034200542
3100 n clark st,41.988054,-87.669707
4800 n kedzie ave,41.96878315,-87.7086852938441
9200 s green,41.7275025,-87.59762822297495
100 n latrobe,41.882475,-87.756472
1 e 13th st,41.8649595,-87.6921643
1800 w eddy,41.946078,-87.674171
2700 n clark,41.6181136,-87.4143406405452
400 e 64th st,41.77853,-87.614206
5300 s lake park - inner,41.9544758,-87.6453318
3300 s archer,41.8114215,-87.7261651
1000 w adams street,41.87958745,-87.6524370620811
3000 w rosemont,41.97439645,-87.8636542971037
600 w diversey,41.9327263,-87.6489032
5200 s harper av,41.80085125,-87.5895033595299
500 s wabash,41.88890145,-87.62642538975453
3700 w 103rd st,41.7068104,-87.7126482177944
1300 n claremont,41.904995,-87.68602
900 e 62nd st,41.7825611,-87.6040334496756
2700 s kolin,41.8624046,-87.733619
2200 n dayton,41.7539257,-86.4484358
100 s kensington,41.6780901,-87.6072688
4700 n winthrop,46.4848343,-87.6849657
1 s wacker dr,41.8814514,-87.6361916966282
3900 n christiana,41.95218105,-87.71187349002322
400 n lamon,41.889229,-87.748164
3700 s wabash,41.827253,-87.624994
6900 s wabash,41.88890145,-87.62642538975453
3000 e 79th st,41.752012,-87.551471
2400 w arthur,41.9995148,-87.8067715
1 w lake st,41.885667,-87.628105
5600 w washingon,41.883775150000005,-87.6249741954571
1700 w chicago av,41.8962591,-87.6700338134427
1500 n mohawk,41.9093059,-87.64245379804618
1400 w sherwin,42.01523465,-87.66627010427273
600 w lake st,41.8858826,-87.6432268
1300 n clark,39.450008,-87.998665
3100 e 77th,41.754408,-87.5971594
3900 s lake shore dr,41.8539539,-87.6142663
1600 s allport,41.859622,-87.657811
100 s clinton st,41.880442,-87.641259
100 w jackson boulevard,41.8774049,-87.6986376
7100 n california,10.4777619,-66.8283254
1300 s halsted st,41.865264,-87.646971
1400 n greenview,41.90714675,-87.66540294337267
2400 n cannon,41.912615,-87.6270814
4900 w 55th st,41.7929780739894,-87.751889463127
2800 n sheffield,46.3588369,-106.0613781
3800 w roosevelt,41.8761445,-87.6251612
4600 s paulina,41.810275399999995,-87.66790129685549
5100 n clark st,41.97468475,-87.6686199179235
1400 s michigan ave,41.86377655,-87.624548667434
2200 n lincoln,40.7832034,-73.974793
2200 n kenneth,41.92082175,-87.73794785000001
600 w melrose,41.9427746,-87.6920151
2600 n seminary,41.9506,-87.6566802
4800 n ashland,41.7460049,-87.6636981257243
1 e north ave,41.9209322,-88.2434952
2700 n mozart st,41.9304134,-87.6991069492321
2600 w chicago,41.8902501,-88.2230944477082
2200 n stockton drive,41.922123,-87.635837
3200 n milwaukee,41.8961978,-87.6553579
9700 s emerald,41.71771135,-87.64219351596128
10800 s ewing,41.6989645,-87.53559172535714
4800 n ravenswood,41.9648785,-87.6574185
700 w willow,41.9979569,-87.9313964
900 w barry,41.9381186,-87.6465006840395
6300 s cottage grov,41.7802449,-87.606166
1600 w 18th pl,41.856958,-87.666296
5000 n sheridan,41.9528225,-87.6534959
3600 w diversey,41.9327263,-87.6489032
300 e 47th st,41.80953745,-87.6191733905156
2500 n lincoln av,41.9896464,-87.7061328
900 w marquette,46.5063041,-87.8073614
2800 w 21st st,41.853822,-87.696277
3200 n clark st,41.940025,-87.650867
3500 w mclean,41.91844795,-87.71373699067559
1000 w leland,41.96699035,-87.6593182416711
3200 n wilton,41.9308469,-87.6525735
1 w erie st,41.8939282,-87.6286954
5300 s michigan ave,41.7980475,-87.6228662343295
8000 s dobson,41.7578146,-87.59900948731985
500 w belmont ave,41.9404156,-87.6422121558438
2400 w armitage,41.917635,-87.690024
3700 w 51st st,41.8012811,-87.6696412
2000 w 69th st,41.768521,-87.673792
900 w belmont av,41.9400883,-87.6517723
2800 n broadway st,43.0438191,-87.9079560083974
4100 w newport,41.944162199999994,-87.72930955825824
5400 n rockwell,41.99198565,-87.6941195399312
1 e 56th,41.792794,-87.623873
1 s la salle st,41.8377374,-87.6300042
200 s columbus dr,41.879105376551,-87.6208434180172
200 w 29th st,41.841235,-87.633126
2200 n sawyer,41.9700766,-87.7101209919946
1900 w taylor st,41.86945885,-87.6739800415605
3400 w hirsch,41.9066343,-87.71196687636234
400 n new st,41.890908,-87.618716
1800 w cullerton,41.855071,-87.67119
2300 w van buren,41.8768929,-87.628703
3200 w belden,41.922444,-87.7438166
1900 w harrison,41.8567858,-87.67350692649336
1500 w carmen,41.974439,-87.668381
7000 s paxton,41.767772550000004,-87.5716835957142
1900 n clark st,41.916657,-87.635116
6400 s lawler,41.77637475,-87.74824310358574
8800 s burley,41.73502995,-87.54672707480181
5100 n lincoln av,41.97419695,-87.6923686007634
5800 w madison,41.88184,-87.6281596077555
10100 s union,41.71046375,-87.64075533854655
6300 n hoyne,41.69217065,-87.6737372395869
100 s wabash,41.885249,-87.626377
1800 w north av,41.9107558,-87.6730296571038
800 e solidarity dr,41.8665504930693,-87.6099308760644
1400 s michigan av,41.86377655,-87.624548667434
5000 w 55th str,41.7930101652696,-87.7496168029511
1 w grand ave,41.8913983,-87.6283923757543
1800 e 72nd st,41.7645072,-87.580764654322
3800 w harrison,41.8567858,-87.67350692649336
100 w schiller,41.907771,-87.633292
6200 s princeton,41.78748655,-87.6332820669065
1500 s prairie,41.958499,-84.761322
1400 w 19th st,41.856109,-87.663354
11400 s carpenter,41.68666445,-87.6485638817883
6300 s promontory,41.7773429,-87.5718729
4200 n ashland,41.7460049,-87.6636981257243
5100 w montrose,41.96359365000001,-87.7551308113381
3600 w schubert,41.9295234,-87.7612682
200 w 32nd st,41.836428,-87.633007
5800 s michigan,43.8826778,-85.8042654
600 e 35th st,41.83146165,-87.6102345061537
1900 w ogden,41.7750324,-87.65682012961435
800 w wilson ave,41.96557,-87.650761
5400 s sayre,41.978819200000004,-87.80134307476384
3800 s campbell,41.824553949999995,-87.68771842055799
4700 n malden,41.9672913,-87.66316222386732
2400 n geneva terrace,41.92588895,-87.6442019730786
6800 s parnell,41.505713,-87.6295045
5700 w hirsch,41.9067104,-87.6846763
5600 n ravenswood,41.9535757,-87.7004433
8100 s carpenter,41.5191589,-87.6417189
2400 s sacramento,41.84807205,-87.70051595897493
1100 w wrightwood,41.929045,-87.656328
500 w madison st,41.88467835,-87.640547579468
1100 w 18th pl,41.857391,-87.653877
1900 n kenmore,41.92100535,-87.65432225
2000 n stockton,41.9141563,-87.6326738424692
5700 s ellis av,41.791268,-87.601408
4700 n rockwell,41.99198565,-87.6941195399312
3900 w thomas,41.900995949999995,-87.72415158552135
1700 w farwell,42.006806499999996,-87.65862287865417
300 w ohio,41.8914867,-87.7325256
1100 n sacramento,41.88964985,-87.7008938485065
100 w van buren,41.8768929,-87.628703
800 e 88th st,41.734921,-87.603853
1100 w 78th st,41.752434,-87.65153
5200 w byron,41.9521267,-87.7229283602848
4100 w dickens ave,41.919046,-87.729222
7500 s michigan,43.8826778,-85.8042654
500 n halsted st,41.9330468,-87.6490246
4400 n clark,39.450008,-87.998665
200 e 116th st,41.6827746,-87.6177451609622
900 n state st,41.8994036,-87.6287673733012
4700 s laflin st,41.808065,-87.662627
400 e ontario st,41.89354,-87.616547
2400 w 35th st,41.830351,-87.685889
7700 s cottage grove av,41.754808,-87.605404
1900 s indiana,39.745368,-84.2609
5100 n mason,41.974084500000004,-87.77735468157232
800 w monroe,41.897133249999996,-87.62442335495092
100 n wabash av,41.885249,-87.626377
300 e grand av,41.891888,-87.620071
5300 s woodlawn ave,41.799333,-87.596749
2200 w cermak rd,41.85230565,-87.6809035492698
1100 s wood st,41.868108,-87.671496
5200 n clark,39.450008,-87.998665
900 w wolfram,41.9330997,-87.6865824
800 n harding,41.897133249999996,-87.62442335495092
800 e 83rd st,41.744083,-87.603045
4000 n lowell,41.2917251,-87.4136319264032
4500 n kedzie av,41.9632904,-87.7085135850334
700 n wells st,41.89491395,-87.6343956192273
5800 n hermitage,42.0043942,-87.6739923
1500 n milwaukee,41.8961978,-87.6553579
6400 w palmer st,41.92012,-87.786116
6100 s rhodes,41.8341922,-89.4677422
100 n franklin st,41.884587,-87.635492
1500 w byron,41.952568,-87.667621
3200 s morgan st,41.8743166,-87.6518106
6500 s kedzie,41.7750536,-87.70355578265907
1300 e 57th st,41.791573,-87.592247
3500 w fulton,41.884204,-88.200852
8100 s washtenaw,41.74621955,-87.69041067938682
3600 w 26th st,41.844465,-87.714955
2200 s washtenaw,41.851347,-87.693086
800 n clark st,41.89684845,-87.631673577354
2100 s albany ave,41.919395550000004,-87.70569091195853
2600 n spaulding,42.0305936,-88.2416564
3600 w george st,41.933816,-87.717404
9 e superior st,41.89546275,-87.6276699948367
2500 s whipple,41.8462464,-87.70175883457142
3000 w 73rd st,41.760893,-87.697986
200 e 133rd,41.653697,-87.617093
5900 s cottage,41.6903123,-87.6061579
1 e superior,41.896203799999995,-87.62514580131759
3300 w madison,41.88124635,-87.7089138758286
10300 s western ave,41.70608555,-87.6820497512465
2600 s california blvd,41.844522,-87.694766
600 s wabash av,41.87410205,-87.6263671091479
5200 s st louis,41.390787149999994,-88.14972654466914
4800 s racine,41.8758843,-87.6593253
4200 s albany ave,41.81710945,-87.7020906
1700 e 67th st,41.7734223810984,-87.58548881865
1600 w north av,41.91087675,-87.6692241467314
2300 w dickens,41.9196078,-87.6764492
2400 n lincoln av,41.9256056,-87.6492816
1 e oak st,41.900661,-87.628164
1900 w schiller,41.907271,-87.674817
1500 w 72nd pl,41.7624036,-87.6622979
1 e madison st,41.8819171,-87.6271271
4000 s indiana,41.8217983,-87.621299
5300 s sacramento,41.9458007,-87.70324904675752
7200 s western ave,41.7626343,-87.6836931
2100 s archer av,41.85455545,-87.6322748875566
700 n clark st,41.894955,-87.631316
1900 n milwaukee av,41.91588965,-87.6864201665731
6300 n campbell,41.8265994,-87.6871488
5000 w grand ave,41.9168223535354,-87.7530923636364
3100 w dickens ave,41.9188069,-87.7430903
700 w 60th st,41.78516,-87.642664
100 w quincy st,41.878865,-87.630971
3200 n halsted st,41.940103,-87.649381
2400 n kildare,41.925829,-87.6329012
700 n elizabeth,40.2760171,-79.8803126
3100 n nashville,41.7158507,-87.7847392
1 e walton st,41.899867,-87.627527
2500 w devon st,41.99793665,-87.69255808909242
5000 n kenmore,41.92100535,-87.65432225
800 e 79th street,41.75137,-87.605052
1900 n seminary,41.9506,-87.6566802
4800 n rockwell,41.99198565,-87.6941195399312
3100 n meade,41.9847335,-87.7804179
2000 s archer av,41.8439543,-87.6531671
1400 n lotus,41.90591805,-87.76234937699972
900 w berwyn,41.9757037,-87.8366301
2900 w walton st,41.898119,-87.700599
1100 w hubbard,41.8900679,-87.6481846
2000 e 71st street,41.7667261,-87.576142
3800 w myrick,41.7501672,-87.71840990583496
9000 s ashland,41.778750450000004,-87.66352759569489
300 w hubbard st,41.8900946,-87.6357331
1100 w 100 st,41.7116221,-87.6314341
800 n campbell ave,41.896302,-87.689432
1500 n leclaire,41.9391897,-87.7542642
1 s clark,41.884899149999995,-87.63047295399495
1300 w arthur,41.9995148,-87.8067715
2500 w devon,41.99793665,-87.69255808909242
8000 s indiana,41.8217983,-87.621299
600 s plymouth ct,41.874421,-87.628796
1000 w armitage av,41.9182192,-87.6535245
